City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,island harbour,50.724,-1.2758,285.89,94,95,2.68,GB,1702358292
131,vrangel',42.7297,133.0839,268.33,35,6,6.17,RU,1702358292
132,heishan,41.6892,122.1128,264.94,28,22,4.18,CN,1702358293
133,ribeira grande,38.5167,-28.7,286.91,77,2,2.68,PT,1702358293
134,luganville,-15.5333,167.1667,299.39,69,100,4.22,VU,1702358293
135,carutapera,-1.195,-46.02,299.43,81,74,3.42,BR,1702358294
136,gwadar,25.1216,62.3254,298.39,24,93,2.34,PK,1702358294
137,el porvenir,13.7617,-87.3458,294.78,71,55,2.88,HN,1702358295
138,tangalle,6.024,80.7911,301.58,71,100,0.6,LK,1702358295
139,rouissat,31.9243,5.3502,282.19,49,0,2.06,DZ,1702358295
140,nova sintra,14.8667,-24.7167,295.79,66,75,6.1,CV,1702358296
141,mpanda,-6.3655,31.0409,293.63,93,100,0.25,TZ,1702358297
142,la sarre,48.8002,-79.1996,263.43,87,53,3.82,CA,1702358297
143,bredasdorp,-34.5322,20.0403,289.63,57,100,4.44,ZA,1702358298
144,tiksi,71.6872,128.8694,250.32,100,100,3.01,RU,1702358298
145,santa maria del oro,25.9333,-105.3667,284.08,52,35,0.69,MX,1702358299
146,parry sound,45.3501,-80.033,273.18,80,94,6.25,CA,1702358004
147,santiago de cao,-7.9589,-79.2392,293.22,83,8,3.6,PE,1702358299
148,strassgang,47.0333,15.4,272.91,100,20,1.03,AT,1702358300
149,kapuskasing,49.4169,-82.4331,267.2,93,100,4.63,CA,1702358300
150,constantia,44.1833,28.65,273.54,80,87,4.31,RO,1702358301
151,port mathurin,-19.6833,63.4167,299.35,75,16,5.66,MU,1702358301
152,batouri,4.4333,14.3667,292.59,52,100,1.35,CM,1702358302
153,port alfred,-33.5906,26.891,292.69,86,11,3.13,ZA,1702358302
154,ulladulla,-35.35,150.4667,302.47,62,72,4.24,AU,1702358302
155,port lincoln,-34.7333,135.8667,294.14,53,70,4.05,AU,1702358145
156,shimanovsk,52.0,127.7,251.17,64,5,3.97,RU,1702358303
157,polyarnyy,69.1989,33.4478,257.08,98,30,4.78,RU,1702358304
158,remire-montjoly,4.9167,-52.2667,297.17,100,20,1.03,GF,1702358304
159,nadym,65.5333,72.5167,248.01,91,100,5.51,RU,1702358304
160,kingston,17.997,-76.7936,299.68,79,20,1.03,JM,1702358305
161,saipan,15.1355,145.701,302.54,74,40,6.17,MP,1702358305
162,lensk,60.7253,114.9278,245.38,94,96,2.23,RU,1702358305
163,port saint john's,-31.6229,29.5448,295.36,78,45,2.92,ZA,1702358306
164,chibougamau,49.9168,-74.3659,260.94,79,100,4.12,CA,1702358306
165,klyuchi,52.2667,79.1667,249.31,81,31,6.9,RU,1702358306
166,tazovsky,67.4667,78.7,247.75,91,100,4.08,RU,1702358307
167,mata-utu,-13.2816,-176.1745,300.58,73,100,5.29,WF,1702358305
168,hwange,-18.3693,26.5019,296.75,67,58,2.44,ZW,1702358307
169,flying fish cove,-10.4217,105.6791,300.97,69,40,4.12,CX,1702358308
170,kaya,13.0917,-1.0844,292.05,23,0,5.63,BF,1702358308
171,cabo san lucas,22.8909,-109.9124,295.24,81,57,1.19,MX,1702358308
172,tarko-sale,64.9225,77.785,245.7,85,100,5.37,RU,1702358309
173,paso de los toros,-32.8167,-56.5167,290.99,93,17,5.75,UY,1702358309
174,susuman,62.7833,148.1667,251.47,96,100,2.24,RU,1702358309
175,nyurba,63.2842,118.3319,243.58,98,100,2.19,RU,1702358310
176,mulayjah,27.271,48.4242,294.38,30,96,1.87,SA,1702358310
177,selkirk,50.1436,-96.8845,267.19,71,98,3.58,CA,1702358302
178,margaret river,-33.95,115.0667,296.41,58,0,4.73,AU,1702358311
179,thabazimbi,-24.5917,27.4116,294.38,79,4,1.49,ZA,1702358311
180,iranshahr,27.2025,60.6848,292.34,19,0,2.06,IR,1702358312
181,minas de marcona,-15.2119,-75.1103,289.28,83,70,4.13,PE,1702358312
182,magomeni,-6.8,39.25,300.88,74,35,0.75,TZ,1702358312
183,alice springs,-23.7,133.8833,303.9,22,2,1.03,AU,1702358313
184,corumba,-19.0092,-57.6533,298.42,75,14,1.0,BR,1702358301
185,huilong,31.8111,121.655,281.2,68,97,6.8,CN,1702358314
186,ishikawa,26.4233,127.8214,295.33,78,100,4.63,JP,1702358314
187,mount gambier,-37.8333,140.7667,304.35,38,77,2.79,AU,1702358315
188,aykhal,66.0,111.5,245.86,100,100,2.32,RU,1702358181
189,morden,49.1919,-98.1014,267.07,68,10,7.2,CA,1702358316
190,upata,8.0086,-62.3989,297.15,95,39,1.65,VE,1702358316
191,lakatoro,-16.0999,167.4164,299.69,61,100,5.55,VU,1702358316
192,iskateley,67.6803,53.1512,258.89,92,100,6.95,RU,1702358317
193,kapa'a,22.0752,-159.319,297.65,87,40,3.6,US,1702358317
194,mudkhed,19.1667,77.5167,298.17,42,32,3.26,IN,1702358317
195,baglung,28.2719,83.5898,289.43,53,76,1.84,NP,1702358318
196,kavieng,-2.5744,150.7967,302.16,74,96,4.18,PG,1702358318
197,kendari,-3.945,122.4989,303.26,69,98,1.18,ID,1702358318
198,kardla,58.9978,22.7492,270.14,93,100,3.6,EE,1702358319
199,tsiombe,-25.3,45.4833,302.94,54,99,1.2,MG,1702358319
200,booue,-0.0921,11.9385,295.47,99,100,0.99,GA,1702358241
201,tazacorte,28.629,-17.9293,292.69,45,0,3.09,ES,1702358320
202,ust-nera,64.5667,143.2,251.93,99,100,3.83,RU,1702358320
203,chonglong,29.7806,104.8522,286.35,67,98,1.7,CN,1702358320
204,cockburn town,21.4612,-71.1419,299.73,81,80,9.7,TC,1702358321
205,motueka,-41.1333,173.0167,293.2,40,6,5.22,NZ,1702358321
206,boali,4.8005,18.1275,294.77,34,99,2.9,CF,1702358321
207,pemangkat,1.1667,108.9667,301.96,75,42,2.54,ID,1702358322
208,sao jose da coroa grande,-8.8978,-35.1478,297.93,77,2,3.23,BR,1702358322
209,cox's bazar,21.4532,91.9798,296.97,65,0,2.34,BD,1702358322
210,rio grande,-32.035,-52.0986,293.68,85,24,6.56,BR,1702358322
211,la passe,45.5549,-0.8967,286.28,94,100,3.24,FR,1702358323
212,timbiras,-4.2553,-43.9406,296.83,89,46,1.39,BR,1702358323
213,mogadishu,2.0371,45.3438,300.89,77,67,5.93,SO,1702358323
214,gondar,12.6,37.4667,288.77,49,100,1.81,ET,1702358324
215,namalenga,-10.95,39.1,299.16,78,72,0.84,TZ,1702358324
216,gunjur,13.2019,-16.7339,293.19,88,0,0.0,GM,1702358325
217,tolanaro,-25.0319,46.9987,300.44,75,89,4.06,MG,1702358325
218,liperi,62.5333,29.3667,260.53,85,100,2.57,FI,1702358325
219,kayes,14.0,-11.0,294.63,18,6,1.8,ML,1702358326
220,sao joao da barra,-21.6403,-41.0511,295.49,97,99,4.4,BR,1702358326
221,san pablo villa de mitla,16.9167,-96.4,284.63,88,94,2.72,MX,1702358326
222,saldanha,-33.0117,17.9442,290.22,70,53,10.25,ZA,1702358326
223,umarizal,-5.9906,-37.8144,298.45,69,21,2.38,BR,1702358327
224,freetown,8.484,-13.2299,297.99,83,20,2.57,SL,1702358327
225,horsham,51.064,-0.3272,285.62,96,75,3.09,GB,1702358174
226,arraial do cabo,-22.9661,-42.0278,296.0,88,46,4.57,BR,1702358328
227,phan rang-thap cham,11.5667,108.9833,304.66,51,65,5.76,VN,1702358328
228,bardai,11.65,7.2333,285.21,43,0,4.49,NG,1702358328
229,kulhudhuffushi,6.6221,73.07,298.57,91,99,4.47,MV,1702358329
230,salinas,36.6777,-121.6555,285.41,81,0,2.57,US,1702358042
231,emerald,-23.5333,148.1667,303.9,51,86,7.92,AU,1702358194
232,pisco,-13.7,-76.2167,293.18,83,69,3.6,PE,1702358330
233,moussoro,13.6408,16.4901,289.75,34,14,6.01,TD,1702358330
234,palmer,42.1584,-72.3287,275.08,65,75,5.14,US,1702358330
235,tomatlan,19.9333,-105.25,295.07,66,0,2.09,MX,1702358331
